Team,Player,Goals,Assists,xG,xA,Goal Involvements,xGI,Difference (GI-xGI),% [(GI/xGI)-1]*100,G/xG*100 (%)
CHE,Abraham,15,6,18.08,2.91,21,20.99,0.01,0,0.83
SOU,Adams,4,4,5.87,3.62,8,9.49,-1.49,-15.7,0.681
MCI,Aguero,16,6,15.56,2.92,22,18.48,3.52,19,1.028
LEI,Albrighton,0,3,0.45,2.29,3,2.74,0.26,9.5,0
TOT,Alli,8,6,7.92,3.48,14,11.4,2.6,22.8,1.01
NEW,Almiron,4,2,7.76,2.9,6,10.66,-4.66,-43.7,0.515
BHA,Alzate,0,0,1.06,0.82,0,1.88,-1.88,-100,0
WHU,Anderson,1,4,2.62,2.65,5,5.27,-0.27,-5.1,0.382
WHU,Antonio,10,4,13.25,3.92,14,17.17,-3.17,-18.5,0.755
SOU,Armstrong,5,4,3.11,2.01,9,5.12,3.88,75.8,1.608
NEW,Atsu,0,3,0.25,0.71,3,0.96,2.04,212.5,0
ARS,Aubameyang,22,5,16.35,4.49,27,20.84,6.16,29.6,1.346
CRY,Ayew,9,3,7.68,2.86,12,10.54,1.46,13.9,1.172
MCI,B. Silva,6,7,7.42,6.31,13,13.73,-0.73,-5.3,0.809
CHE,Barkley,1,5,2.84,2.86,6,5.7,0.3,5.3,0.352
BUR,Barnes,6,0,6.52,0.31,6,6.83,-0.83,-12.2,0.92
LEI,Barnes,6,10,8.48,4.09,16,12.57,3.43,27.3,0.708
CHE,Batshuayi,1,2,3.04,0.2,3,3.24,-0.24,-7.4,0.329
CRY,Benteke,2,1,4.63,2.46,3,7.09,-4.09,-57.7,0.432
SHU,Berge,1,1,0.6,0.71,2,1.31,0.69,52.7,1.667
TOT,Bergwijn,3,1,1.18,1.13,4,2.31,1.69,73.2,2.542
EVE,Bernard,3,2,1.7,2.3,5,4,1,25,1.765
BHA,Bissouma,1,0,0.41,0.14,1,0.55,0.45,81.8,2.439
SOU,Boufal,0,3,1.01,2.7,3,3.71,-0.71,-19.1,0
WHU,Bowen,1,4,2.32,2.61,5,4.93,0.07,1.4,0.431
BUR,Brady,1,2,1,0.32,3,1.32,1.68,127.3,1
SHU,C. Robinson,1,2,1.56,0.65,3,2.21,0.79,35.7,0.641
EVE,Calvert-Lewin,13,1,16.11,1.34,14,17.45,-3.45,-19.8,0.807
NEW,Carroll,0,4,1.49,0.91,4,2.4,1.6,66.7,0
ARS,Ceballos,0,2,0.47,1.58,2,2.05,-0.05,-2.4,0
LIV,Chamberlain,4,1,2.5,0.94,5,3.44,1.56,45.3,1.6
LEI,Choudhury,1,1,0.34,0.11,2,0.45,1.55,344.4,2.941
BHA,Connolly,3,3,4.55,0.56,6,5.11,0.89,17.4,0.659
BUR,Cork,0,0,1.35,1.17,0,2.52,-2.52,-100,0
MCI,D. Silva,6,12,6.93,7.65,18,14.58,3.42,23.5,0.866
EVE,Davies,1,1,1.64,0.53,2,2.17,-0.17,-7.8,0.61
AVL,Davis,0,1,1.99,0.18,1,2.17,-1.17,-53.9,0
MCI,De Bruyne,13,23,8.11,20.62,36,28.73,7.27,25.3,1.603
