first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Mesut,Özil,1,3,53,1439,20,582.9,223.6,190,1,256,99.8,5,0,1,1.7,70,MID
Sokratis,Papastathopoulos,2,0,57,1696,25,36.8,436.2,110,5,305,58.5,4,0,6,0.4,50,DEF
David,Luiz Moreira Marinho,2,1,94,2809,42,106.7,701.6,211,10,494,102.1,8,2,5,2.5,55,DEF
Pierre-Emerick,Aubameyang,22,5,205,3136,44,479.6,1006,1369,37,807,285.2,10,1,3,45.4,120,MID
Cédric,Soares,1,1,61,1553,20,218.9,349,118,3,286,68.7,4,0,1,0.6,50,DEF
Alexandre,Lacazette,10,7,118,1867,25,337.7,536.4,861,16,387,173.8,5,0,8,2.8,85,FWD
Shkodran,Mustafi,0,2,43,1205,17,45.5,277.2,155,2,242,47.9,4,0,2,0,50,DEF
Bernd,Leno,0,0,114,2649,39,0,843.2,0,10,591,84.1,7,0,2,6.4,50,GK
Granit,Xhaka,1,2,73,2586,31,298.5,486.2,110,2,408,89.9,10,0,10,0.7,55,MID
Pablo,Marí,0,0,8,113,0,1.7,27.8,0,1,31,3,1,0,0,0,45,DEF
Héctor,Bellerín,1,0,44,1156,18,76.9,187.8,103,4,204,37,4,0,2,3.5,50,DEF
Emiliano,Martínez,0,0,33,770,9,0,256.8,0,1,169,25.8,3,0,2,6.3,45,GK
Calum,Chambers,1,1,42,1102,15,113.5,272,203,5,197,58.7,3,0,5,0,45,DEF
Sead,Kolasinac,0,2,55,1694,26,182.5,269.6,81,1,331,53,4,0,4,0.3,50,DEF
Ainsley,Maitland-Niles,0,2,41,1382,22,182,301.8,58,3,244,53.6,3,1,4,1.9,50,DEF
Rob,Holding,0,0,16,580,9,4.8,133.6,19,2,96,15.8,1,0,1,0.8,45,DEF
Kieran,Tierney,1,2,42,986,16,121.1,201.8,73,4,213,39.8,2,0,2,11.4,55,DEF
Nicolas,Pépé,5,6,106,2004,30,639.4,500.2,624,9,353,176.5,5,0,4,2.3,80,MID
Lucas,Torreira,1,1,46,1501,23,207.1,281.8,207,0,247,69.7,3,0,7,0.3,50,MID
Joseph,Willock,1,1,41,838,16,165.9,176.8,212,0,150,55.2,1,0,2,0.1,50,MID
Reiss,Nelson,1,1,30,622,7,148.3,110.4,185,0,105,44.4,2,0,1,0.1,55,MID
Edward,Nketiah,2,0,25,628,9,67,90.4,210,1,66,36.4,3,1,0,2.1,60,FWD
Emile,Smith Rowe,0,0,4,96,0,6.3,9.8,0,0,13,1.6,1,0,0,0.5,45,MID
Bukayo,Saka,1,6,71,1746,18,322.5,327.2,248,4,259,89.8,7,0,6,9,55,MID
Matteo,Guendouzi,0,2,48,1744,31,235.1,333.6,146,2,272,71.6,3,0,6,0.2,50,MID
Gabriel Teodoro,Martinelli Silva,3,1,39,656,9,36.6,162.8,226,5,129,42.5,2,0,1,0.1,50,MID
William,Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,45,DEF
Willian,Borges Da Silva,9,9,168,2595,35,1177.7,834.8,930,26,698,294.6,10,0,4,8.4,80,MID
Gabriel,Magalhães,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,50,DEF
Daniel,Ceballos Fernández,0,2,57,1687,21,439.9,346.4,130,3,310,91.7,7,0,1,1.5,50,MID
Tom,Heaton,0,0,59,1794,35,0.3,507.4,0,3,346,50.7,4,0,0,0.1,45,GK
Ahmed,El Mohamady,1,1,39,1024,28,324.1,254.6,67,7,224,64.6,2,0,1,0.5,45,DEF
Henri,Lansbury,0,0,12,190,6,27.2,13.4,13,0,37,5.5,0,0,0,0.3,45,MID
Neil,Taylor,0,0,22,1088,25,79.7,157.6,29,0,163,26.7,2,0,2,0.4,45,DEF
Jed,Steer,0,0,1,7,0,0,0,0,0,3,0,0,0,0,4.5,40,GK
Conor,Hourihane,3,5,83,1526,29,551.8,384.8,317,9,328,125.3,6,0,4,0.1,60,MID
José Ignacio,Peleteiro Romallo,0,1,17,329,5,56.9,47,73,0,48,17.3,2,0,0,0.1,60,MID
Ørjan,Nyland,0,0,15,537,12,0,101.2,0,0,90,10.2,1,0,0,17.8,40,GK
Bjorn,Engels,1,0,42,1446,32,31.9,329.6,81,4,252,44.5,3,0,1,0.2,45,DEF
Jack,Grealish,8,7,149,3233,63,1209.2,826.6,837,19,601,287,7,0,8,11.7,70,MID
John,McGinn,3,3,84,2312,41,503.3,458.6,499,4,321,145.9,6,0,3,0.6,55,MID
Kortney,Hause,1,0,34,1544,34,33,352.8,248,0,204,63.4,2,0,3,0.1,45,DEF
