Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,2,38,48,7,0,9,0,58.5,0.27,10.5,0.28,128,433,29.6,971,220,29.7,32.7,312,46.5,41.4,353,23,6.5,21,0.55,13.4
Aston Villa,4,38,67,5,1,10,1,59,0.31,-7,-0.18,279,723,38.6,850,170,55.2,44.4,343,74.1,55.6,392,26,6.6,19,0.5,13.2
Bournemouth,2,38,65,5,4,5,0,64.7,0.33,-0.3,-0.01,206,668,30.8,859,189,53.1,44.5,297,71.4,58.6,329,20,6.1,17,0.45,14.3
Brighton,1,38,54,2,0,8,3,53.7,0.32,2.7,0.07,272,527,51.6,1188,232,33.8,33.8,274,45.6,38.7,313,24,7.7,19,0.5,14
Burnley,1,38,50,4,0,8,1,46.9,0.27,-2.1,-0.06,285,916,31.1,875,168,73,54.4,305,90.8,70,371,53,14.3,36,0.95,16.6
Chelsea,2,38,54,2,2,11,3,40.8,0.35,-10.2,-0.27,175,408,42.9,1024,160,30.5,32.3,227,42.3,38.8,256,17,6.6,23,0.61,15.5
Crystal Palace,2,38,50,0,1,7,2,56.1,0.34,8.1,0.21,256,762,33.6,844,169,59.4,45.2,312,83.7,62.6,361,32,8.9,17,0.45,13.1
Everton,1,38,56,3,3,6,3,48,0.32,-5,-0.13,313,784,39.9,1100,179,55.6,45.8,273,63,53.5,318,25,7.9,23,0.61,14.7
Leicester City,1,38,41,8,0,7,2,42.7,0.28,3.7,0.1,239,488,49,936,151,39.9,37.4,242,47.5,40.9,291,10,3.4,27,0.71,15.7
Liverpool,2,38,33,1,1,2,1,31.5,0.29,-0.5,-0.01,198,397,49.9,1001,181,29.7,33.4,238,42,39.3,288,24,8.3,44,1.16,16.5
Manchester City,2,38,35,3,1,4,1,33.4,0.3,-0.6,-0.02,147,296,49.7,1028,174,22.5,29.9,167,38.9,37.3,209,15,7.2,38,1,17.3
Manchester Utd,1,38,36,3,1,8,1,37.5,0.29,2.5,0.07,120,311,38.6,669,148,33.8,34.3,265,32.1,34,288,15,5.2,11,0.29,13.4
Newcastle Utd,1,38,58,2,2,11,2,66,0.34,10,0.26,295,778,37.9,756,121,63.6,48.4,337,88.1,64.5,384,20,5.2,14,0.37,12.3
Norwich City,3,38,75,4,1,13,3,70.2,0.32,-1.8,-0.05,270,765,35.3,1261,190,45.4,39.7,350,55.1,44.9,407,28,6.9,18,0.47,14.1
Sheffield Utd,2,38,39,1,0,2,0,42.1,0.3,3.1,0.08,262,892,29.4,814,103,77.6,58.7,269,96.7,75.8,295,23,7.8,17,0.45,13.8
Southampton,2,38,60,3,1,5,1,57.6,0.34,-1.4,-0.04,243,746,32.6,815,98,65,48.5,256,84.4,61.2,339,26,7.7,22,0.58,15.3
Tottenham,2,38,47,5,1,4,2,52.4,0.28,7.4,0.2,215,574,37.5,795,140,47.9,39.8,289,66.8,50.8,355,20,5.6,16,0.42,12.7
Watford,1,38,64,8,3,7,3,58.1,0.31,-2.9,-0.08,323,976,33.1,911,122,77.4,54.3,292,92.8,67.6,366,37,10.1,42,1.11,15.6
West Ham,4,38,62,5,2,7,3,58.4,0.3,-0.6,-0.02,326,815,40,776,129,70.1,50.4,292,92.8,64.5,374,16,4.3,12,0.32,11.8
Wolves,1,38,40,1,1,7,1,39.9,0.32,0.9,0.02,282,583,48.4,580,124,59.7,44.6,282,84,55.7,350,15,4.3,8,0.21,12.4
Arsenal,2,38,51,7,1,5,2,54.6,0.29,5.6,0.15,153,520,29.4,1079,213,33.1,35.4,265,61.5,50.7,318,25,7.9,22,0.58,15.2
Bournemouth,3,38,70,5,2,8,3,56.2,0.32,-10.8,-0.28,211,541,39,740,193,44.7,39.8,300,70,54.6,360,24,6.7,18,0.47,13.9
Brighton,2,38,60,10,1,6,0,57.7,0.32,-2.3,-0.06,353,859,41.1,765,109,68,49.1,360,94.2,64.8,354,19,5.4,7,0.18,12.7
Burnley,2,38,68,2,2,10,4,59.6,0.29,-4.4,-0.12,354,959,36.9,827,88,78.1,55.8,339,92.3,69,429,22,5.1,26,0.68,14.6
Cardiff City,1,38,69,4,1,12,0,69,0.32,0,0,333,1103,30.2,869,49,90.4,61.6,319,99.4,70.6,299,22,7.4,38,1,16.2
Chelsea,2,38,39,1,0,6,0,38,0.3,-1,-0.03,189,339,55.8,935,173,22.8,29.1,264,47.7,41.9,268,23,8.6,23,0.61,15.8
Crystal Palace,3,38,53,4,1,8,1,46.6,0.28,-5.4,-0.14,261,790,33,779,144,62.6,48.7,337,89.6,66.1,396,27,6.8,17,0.45,13.7
Everton,1,38,46,2,2,11,2,48.3,0.35,4.3,0.11,281,764,36.8,968,150,58.4,48.3,282,70.6,60.5,282,25,8.9,35,0.92,16
Fulham,3,38,81,5,1,9,2,75.8,0.32,-3.2,-0.09,332,788,42.1,833,131,59.7,44.8,345,84.3,60.1,397,31,7.8,17,0.45,13.5
Huddersfield,3,38,76,7,3,8,1,63,0.33,-12,-0.32,371,883,42,1064,106,62.9,46.9,264,81.1,61,282,32,11.3,23,0.61,14.2
Leicester City,1,38,48,5,0,7,0,46.4,0.3,-1.6,-0.04,329,692,47.5,903,108,51.3,41.9,305,75.1,57.4,338,34,10.1,16,0.42,14.2
Liverpool,1,38,22,0,0,5,0,26.9,0.28,4.9,0.13,196,394,49.7,1054,197,27,32.4,208,52.4,46.3,278,22,7.9,37,0.97,16.6
Manchester City,1,38,23,4,1,5,0,26.9,0.32,3.9,0.1,137,277,49.5,901,172,21.5,29.7,170,48.8,49.4,177,17,9.6,27,0.71,17.1
Manchester Utd,1,38,54,6,2,7,3,52,0.28,1,0.03,311,667,46.6,756,143,53,43.8,331,80.4,60.5,310,19,6.1,13,0.34,12.6
Newcastle Utd,1,38,48,6,2,10,1,50.6,0.34,3.6,0.09,272,722,37.7,836,144,54.2,43.5,316,85.1,62.8,408,35,8.6,23,0.61,13.3
Southampton,3,38,65,2,0,8,3,54.7,0.31,-7.3,-0.19,204,709,28.8,691,96,67.6,50.8,276,87.7,65.6,355,30,8.5,19,0.5,14.1
Tottenham,3,38,39,3,1,7,3,50.9,0.32,14.9,0.39,246,541,45.5,1067,182,35.8,35.4,266,59.8,48.1,331,17,5.1,19,0.5,14.8
Watford,1,38,59,4,2,7,3,56.9,0.32,0.9,0.02,360,973,37,942,99,73.8,52.5,300,92.7,68.8,374,35,9.4,42,1.11,15.9
West Ham,1,38,55,4,0,10,1,65.6,0.33,11.6,0.31,316,848,37.3,901,142,62.9,49.4,303,92.7,68.7,376,36,9.6,16,0.42,13.6
Wolves,3,38,46,3,1,7,3,40.9,0.28,-2.1,-0.06,249,585,42.6,574,110,60.6,43.6,282,84,57.5,315,21,6.7,13,0.34,12.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal,2,38,51,5,0,9,0,51.8,0.33,0.8,0.02,152,394,38.6,785,175,38.2,37.3,123,76.4,57.8,371,41,11.1,31,0.82,15.4
Bournemouth,1,38,61,2,2,8,0,54.6,0.32,-6.4,-0.17,178,523,34,693,171,50.1,41.9,198,88.9,62.8,434,34,7.8,11,0.29,13.2
Brighton,1,38,54,1,1,15,4,54.2,0.31,4.2,0.11,301,753,40,697,91,71.3,49.1,264,97,65.4,416,24,5.8,11,0.29,12.5
Burnley,2,38,39,3,0,5,1,49.1,0.29,11.1,0.29,318,931,34.2,861,108,79.6,58.6,260,94.6,74.1,472,54,11.4,20,0.53,14.9
Chelsea,2,38,38,2,0,1,2,34.5,0.3,-1.5,-0.04,149,420,35.5,919,167,34.2,36,161,65.8,56.7,341,40,11.7,20,0.53,15.4
Crystal Palace,2,38,55,2,1,11,2,50.2,0.29,-2.8,-0.07,251,688,36.5,660,90,71.2,53,227,96,72.1,448,33,7.4,19,0.5,13.5
Everton,1,38,58,3,0,7,0,57.8,0.31,-0.2,-0.01,285,834,34.2,884,129,67.4,53.7,257,92.6,74,413,30,7.3,28,0.74,15.3
Huddersfield,1,38,57,4,0,6,1,56.1,0.34,-0.9,-0.02,326,793,41.1,956,79,62.6,48.8,217,89.9,67.4,343,27,7.9,43,1.13,17.6
Leicester City,3,38,60,2,3,10,2,48.9,0.3,-9.1,-0.24,282,755,37.4,828,99,64.9,49.5,227,96,71.7,385,33,8.6,32,0.84,15.8
Liverpool,2,38,38,4,0,6,0,35.8,0.32,-2.2,-0.06,119,395,30.1,940,170,35.3,35,112,56.3,48.6,309,27,8.7,25,0.66,15.6
Manchester City,2,38,27,0,1,1,1,24,0.28,-2,-0.05,114,214,53.3,899,133,18.2,27.8,79,63.3,54.6,192,25,13,50,1.32,19
Manchester Utd,2,38,28,1,1,5,2,35.1,0.24,9.1,0.24,203,524,38.7,675,101,52.6,43,200,84.5,62.6,355,24,6.8,17,0.45,13.5
Newcastle Utd,3,38,47,4,0,3,3,49.6,0.32,5.6,0.15,241,688,35,764,90,62.3,47.2,240,88.3,63.4,425,47,11.1,24,0.63,14.6
Southampton,2,38,56,1,1,7,1,50.2,0.31,-4.8,-0.13,169,573,29.5,562,91,64.9,50,225,92.4,67.4,396,36,9.1,11,0.29,12.8
Stoke City,2,38,68,5,0,11,2,61.9,0.28,-4.1,-0.11,333,844,39.5,853,83,73.7,53.8,231,93.1,69.3,456,36,7.9,28,0.74,15.1
Swansea City,1,38,56,3,1,7,2,58.6,0.29,4.6,0.12,251,662,37.9,782,102,56.8,46.3,236,92.4,67.2,446,41,9.2,14,0.37,13.7
Tottenham,3,38,36,2,1,8,1,37,0.28,2,0.05,151,353,42.8,870,153,31.8,34.7,133,57.1,47.8,329,28,8.5,35,0.92,16.6
Watford,2,38,64,6,1,6,1,55.7,0.34,-7.3,-0.19,249,654,38.1,741,110,69.1,50.2,155,91.6,66.4,392,38,9.7,19,0.5,14.8
West Brom,2,38,56,1,3,7,1,51.3,0.33,-3.7,-0.1,273,723,37.8,680,51,75.3,53.8,218,96.8,71.8,478,30,6.3,15,0.39,14.1
West Ham,2,38,68,5,1,11,1,62,0.32,-5,-0.13,266,741,35.9,695,69,75.3,53.7,224,97.3,68.8,422,31,7.3,25,0.66,14.5
