Squad,# Pl,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Arsenal,29,601,373,325,199,77,203,598,33.9,395,6127,1640,26.8,2242,2663,1222,614,153,2,461,334,935,978,14
Aston Villa,28,606,388,338,195,73,191,611,31.3,420,5837,1595,27.3,2128,2487,1222,725,213,4,512,431,1037,983,29
Bournemouth,27,559,349,279,220,60,184,581,31.7,397,6794,1782,26.2,2218,2969,1607,703,176,3,527,478,1037,1136,14
Brighton,25,663,409,338,237,88,214,644,33.2,430,5794,1743,30.1,2013,2421,1360,631,162,5,469,410,1073,934,16
Burnley,22,583,341,263,241,79,203,611,33.2,408,5806,1482,25.5,1784,2533,1489,712,189,3,523,379,962,1234,5
Chelsea,27,739,449,350,295,94,217,625,34.7,408,6220,1920,30.9,1812,2841,1567,576,102,2,474,448,1187,930,9
Crystal Palace,25,733,430,392,265,76,260,678,38.3,418,6251,1698,27.2,2423,2651,1177,675,153,3,522,446,1179,998,13
Everton,24,739,423,369,267,103,245,735,33.3,490,6062,1656,27.3,2064,2634,1364,587,130,1,457,410,1149,1037,10
Leicester City,24,780,477,380,310,90,283,786,36,503,6397,1988,31.1,2106,2897,1394,600,107,2,493,423,1203,1009,13
Liverpool,24,606,375,223,259,124,213,609,35,396,5638,1813,32.2,1491,2345,1802,481,75,2,406,356,962,863,10
Manchester City,24,566,365,223,230,113,228,640,35.6,412,5003,1584,31.7,1185,2157,1661,444,74,3,370,355,921,656,19
Manchester Utd,29,618,359,292,245,81,207,627,33,420,5860,1650,28.2,1878,2617,1365,632,117,0,515,373,991,880,7
Newcastle Utd,28,672,393,413,198,61,225,621,36.2,396,5993,1525,25.4,2579,2409,1005,638,173,5,465,385,1057,1132,11
Norwich City,30,715,433,418,219,78,252,775,32.5,523,6480,1780,27.5,2685,2605,1190,713,197,6,516,390,1105,1038,16
Sheffield Utd,26,653,392,339,230,84,212,642,33,430,6386,1771,27.7,2123,2724,1539,618,125,2,493,420,1073,1243,12
Southampton,25,790,483,373,310,107,290,857,33.8,567,6821,2106,30.9,2187,2922,1712,694,147,0,547,400,1190,1276,20
Tottenham,29,708,445,353,292,63,213,689,30.9,476,6209,1752,28.2,2280,2730,1199,659,168,2,491,369,1077,1074,11
Watford,26,683,429,354,244,85,238,775,30.7,537,6756,1842,27.3,2316,2948,1492,622,155,5,467,405,1088,1098,12
West Ham,29,720,470,400,253,67,230,763,30.1,533,6464,1795,27.8,2434,2787,1243,634,127,1,507,422,1142,928,11
Wolves,21,716,423,398,254,64,266,730,36.4,464,6253,1710,27.3,2377,2816,1060,608,128,1,480,425,1141,972,13
Arsenal,28,600,393,302,227,71,200,580,34.5,380,6149,1641,26.7,1999,2852,1298,538,124,2,414,399,999,858,9
Bournemouth,28,492,303,271,170,51,139,457,30.4,318,6740,1545,22.9,2551,2948,1241,595,152,4,443,383,875,1065,6
Brighton,21,685,432,384,224,77,193,594,32.5,401,6874,1568,22.8,2735,2959,1180,653,192,3,461,470,1155,1065,6
Burnley,23,590,342,302,232,56,210,579,36.3,369,6288,1478,23.5,2152,2751,1385,744,241,12,503,344,934,1149,15
Cardiff City,25,666,402,361,237,68,195,612,31.9,417,7121,1769,24.8,2640,3270,1211,707,154,5,553,517,1183,917,10
Chelsea,24,620,411,293,236,91,171,509,33.6,338,6254,1795,28.7,1950,2667,1637,499,83,5,416,352,972,589,5
Crystal Palace,26,758,457,415,264,79,242,629,38.5,387,7161,1735,24.2,3073,2935,1153,732,173,1,559,462,1220,1042,15
Everton,23,711,453,359,270,82,183,517,35.4,334,6597,1899,28.8,2277,2906,1414,595,104,1,491,455,1166,912,11
Fulham,28,605,400,334,220,51,189,524,36.1,335,6366,1641,25.8,2452,2700,1214,644,160,3,484,426,1031,985,8
Huddersfield,31,745,434,359,299,87,230,709,32.4,479,7217,1897,26.3,2649,3201,1367,667,135,4,532,521,1266,759,6
Leicester City,25,714,445,384,255,75,160,540,29.6,380,6784,1889,27.8,2475,2986,1323,644,108,0,536,428,1142,931,7
Liverpool,23,603,388,262,246,95,174,564,30.9,390,6195,1812,29.2,1756,2743,1696,509,92,2,417,323,926,699,14
Manchester City,21,513,352,215,222,76,167,465,35.9,298,5487,1589,29,1362,2474,1651,440,78,2,362,361,874,653,6
Manchester Utd,28,581,359,299,215,67,179,528,33.9,349,6216,1619,26,2204,2739,1273,603,138,0,465,354,935,861,6
Newcastle Utd,24,716,422,375,271,70,229,667,34.3,438,7340,1774,24.2,2886,3310,1144,745,152,5,593,508,1224,1100,9
Southampton,30,725,451,371,269,85,235,679,34.6,444,7432,1940,26.1,2704,3166,1562,697,164,4,533,533,1258,1026,14
Tottenham,28,640,401,336,212,92,191,534,35.8,343,5919,1677,28.3,1979,2572,1368,580,124,4,456,332,972,780,8
Watford,25,676,426,370,235,71,211,626,33.7,415,6896,1875,27.2,2581,2976,1339,591,123,3,468,416,1092,915,11
West Ham,26,700,443,379,257,64,234,699,33.5,465,6747,1699,25.2,2680,2917,1150,640,145,2,495,458,1158,884,9
Wolves,21,694,407,380,258,56,209,642,32.6,433,6221,1631,26.2,2345,2944,932,660,151,2,509,505,1199,945,8
Arsenal,30,580,356,291,204,85,171,509,33.6,338,4885,1526,31.2,1707,1993,1185,548,117,6,431,460,1040,667,12
Bournemouth,22,471,273,262,142,67,165,492,33.5,327,5301,1330,25.1,1843,2385,1073,667,163,5,504,391,862,870,5
Brighton,24,573,369,362,174,37,174,586,29.7,412,5080,1301,25.6,2116,2127,837,663,190,7,473,481,1054,863,18
Burnley,24,475,300,274,158,43,182,553,32.9,371,5801,1468,25.3,2225,2422,1154,729,208,6,521,442,917,860,4
Chelsea,26,620,378,327,228,65,214,530,40.4,316,5247,1581,30.1,2049,2179,1019,554,120,2,434,443,1063,654,12
Crystal Palace,28,624,355,378,198,48,208,545,38.2,337,5245,1446,27.6,2113,2257,875,677,129,5,548,606,1230,828,18
Everton,30,621,368,359,188,74,203,572,35.5,369,5541,1470,26.5,2147,2228,1166,680,167,5,513,562,1183,856,11
Huddersfield,25,691,395,325,287,79,200,597,33.5,397,5269,1558,29.6,1873,2309,1087,678,131,6,547,537,1228,823,14
Leicester City,27,609,374,342,209,58,165,557,29.6,392,4873,1391,28.5,1977,1895,1001,674,142,4,532,449,1058,760,6
Liverpool,27,575,372,268,214,93,169,494,34.2,325,5709,1829,32,1733,2555,1421,534,75,2,459,415,990,641,9
Manchester City,25,496,311,227,185,84,170,502,33.9,332,4162,1384,33.3,1196,1665,1301,474,61,3,413,383,879,402,4
Manchester Utd,27,496,330,257,164,75,155,517,30,362,5533,1456,26.3,2037,2354,1142,583,128,2,455,499,995,634,11
Newcastle Utd,27,603,351,336,204,63,180,560,32.1,380,5211,1316,25.3,2027,2187,997,734,136,6,598,488,1091,918,7
Southampton,26,631,393,354,209,68,180,552,32.6,372,4795,1421,29.6,1907,1846,1042,664,149,3,515,480,1111,718,12
Stoke City,30,619,354,356,204,59,197,540,36.5,343,4881,1242,25.4,2020,2030,831,638,153,4,485,491,1110,888,18
Swansea City,26,567,354,299,197,71,170,492,34.6,322,5590,1494,26.7,2188,2295,1107,603,138,1,465,443,1010,765,13
Tottenham,25,576,359,269,221,86,180,515,35,335,4980,1612,32.4,1509,2090,1381,533,89,2,444,411,987,597,8
Watford,29,596,358,316,219,61,190,540,35.2,350,5010,1454,29,1815,2174,1021,557,102,3,455,491,1087,741,11
West Brom,24,547,350,322,171,54,176,564,31.2,388,5327,1416,26.6,2177,2203,947,614,160,2,454,495,1042,822,17
West Ham,27,563,347,322,177,64,180,546,33,366,5504,1492,27.1,2349,2175,980,633,156,3,477,525,1088,715,13
