Squad,# Pl,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG
Arsenal,29,615,16.18,435,57,51,36,36,78,2.05,57,4,4,9,4,0
Aston Villa,28,747,19.66,549,80,36,27,54,67,1.76,46,7,5,4,4,1
Bournemouth,27,562,14.79,393,66,32,30,40,59,1.55,32,4,5,10,7,1
Brighton,25,694,18.26,512,69,42,35,32,63,1.66,39,8,5,2,5,4
Burnley,22,556,14.63,393,66,25,36,35,62,1.63,43,8,3,5,2,1
Chelsea,27,978,25.74,739,86,53,46,54,108,2.84,76,6,8,8,10,0
Crystal Palace,25,520,13.68,341,64,50,22,41,54,1.42,35,4,5,2,6,2
Everton,24,685,18.03,457,83,46,54,43,65,1.71,43,5,5,8,2,2
Leicester City,24,860,22.63,625,77,64,40,52,110,2.89,87,5,7,2,7,2
Liverpool,24,897,23.61,674,72,73,37,39,138,3.63,95,10,14,8,9,2
Manchester City,24,1212,31.89,939,63,94,62,54,162,4.26,116,6,14,12,14,0
Manchester Utd,29,896,23.58,701,53,56,27,57,102,2.68,76,4,8,1,11,2
Newcastle Utd,28,583,15.34,417,60,45,30,31,58,1.53,40,6,3,6,3,0
Norwich City,30,636,16.74,467,50,48,37,33,36,0.95,27,2,3,2,1,1
Sheffield Utd,26,545,14.34,402,61,34,28,17,59,1.55,42,2,5,6,1,3
Southampton,25,717,18.87,496,67,62,39,53,68,1.79,38,4,10,8,8,0
Tottenham,29,694,18.26,530,42,54,31,35,87,2.29,55,3,12,12,3,2
Watford,26,618,16.26,445,54,42,35,42,48,1.26,30,4,2,4,8,0
West Ham,29,653,17.18,471,73,40,28,41,82,2.16,54,7,6,6,9,0
Wolves,21,686,18.05,477,63,70,32,42,82,2.16,48,8,8,8,8,2
Arsenal,28,758,19.95,609,46,47,31,22,121,3.18,95,6,5,5,7,3
Bournemouth,28,659,17.34,484,63,40,28,43,95,2.5,64,7,7,6,10,1
Brighton,21,582,15.32,397,77,34,34,40,54,1.42,29,9,2,7,7,0
Burnley,23,521,13.71,346,79,17,39,38,66,1.74,42,10,1,9,2,2
Cardiff City,25,566,14.89,376,77,35,40,37,52,1.37,35,4,3,7,2,1
Chelsea,24,1005,26.45,801,57,55,39,52,114,3,81,7,10,7,8,1
Crystal Palace,26,766,20.16,542,68,63,46,44,87,2.29,51,6,6,8,13,3
Everton,23,724,19.05,486,83,52,51,51,81,2.13,55,4,10,9,2,1
Fulham,28,704,18.53,540,58,48,37,20,61,1.61,42,3,7,5,3,1
Huddersfield,31,569,14.97,415,66,24,30,32,34,0.89,23,5,0,2,2,2
Leicester City,25,757,19.92,544,75,52,43,42,82,2.16,56,2,8,6,9,1
Liverpool,23,893,23.5,667,69,70,46,38,143,3.76,99,9,11,10,11,3
Manchester City,21,1078,28.37,833,68,76,57,41,161,4.24,128,6,10,5,9,3
Manchester Utd,28,839,22.08,642,54,53,40,50,110,2.89,75,4,11,10,10,0
Newcastle Utd,24,615,16.18,454,61,39,28,32,59,1.55,43,5,0,8,2,1
Southampton,30,704,18.53,496,66,45,50,46,65,1.71,49,0,3,5,7,1
Tottenham,28,826,21.74,603,72,61,47,43,103,2.71,68,8,8,11,8,0
Watford,25,635,16.71,466,53,44,30,41,81,2.13,53,8,12,4,3,1
West Ham,26,666,17.53,478,75,31,45,36,81,2.13,54,6,4,9,7,1
Wolves,21,688,18.11,516,60,40,38,33,82,2.16,58,6,3,6,8,1
Arsenal,30,952,25.05,748,47,56,49,52,122,3.21,92,7,5,11,7,0
Bournemouth,22,692,18.21,511,71,45,28,37,71,1.87,47,7,5,5,7,0
Brighton,24,569,14.97,414,69,29,29,28,61,1.61,44,3,4,3,7,0
Burnley,24,557,14.66,365,83,27,41,41,56,1.47,38,4,2,11,1,0
Chelsea,26,991,26.08,761,73,57,53,47,97,2.55,74,5,5,5,8,0
Crystal Palace,28,697,18.34,481,73,48,46,49,75,1.97,48,3,6,9,9,0
Everton,30,542,14.26,391,58,29,31,33,66,1.74,41,3,6,10,6,0
Huddersfield,25,500,13.16,377,39,27,24,33,44,1.16,32,3,3,3,3,0
Leicester City,27,597,15.71,431,59,38,35,34,90,2.37,69,6,3,4,8,0
Liverpool,27,1016,26.74,784,63,69,54,46,129,3.39,96,5,16,7,5,0
Manchester City,25,1086,28.58,862,68,53,45,57,185,4.87,149,7,10,7,11,1
Manchester Utd,27,820,21.58,640,47,52,40,41,115,3.03,82,6,8,11,8,0
Newcastle Utd,27,650,17.11,486,54,39,39,32,58,1.53,38,6,4,9,1,0
Southampton,26,684,18,522,61,47,26,28,65,1.71,45,5,4,5,6,0
Stoke City,30,581,15.29,423,57,29,39,33,60,1.58,38,8,3,6,5,0
Swansea City,26,457,12.03,321,47,34,28,27,32,0.84,19,5,1,6,1,0
Tottenham,25,963,25.34,739,68,48,54,53,112,2.95,78,9,6,11,7,1
Watford,29,652,17.16,470,60,46,44,32,62,1.63,38,6,5,8,5,0
West Brom,24,569,14.97,408,65,28,31,37,47,1.24,32,5,2,5,3,0
West Ham,27,566,14.89,406,59,36,18,47,70,1.84,47,3,5,9,6,0
