Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,2,38,38,"3,420",48,1.26,189,143,0.783,14,14,10,10,26.3,8,7,1,0
Aston Villa,4,38,38,"3,420",67,1.76,175,113,0.646,9,8,21,7,18.4,6,5,1,0
Bournemouth,2,38,38,"3,420",65,1.71,182,122,0.67,9,7,22,5,13.2,6,5,1,0
Brighton,1,38,38,"3,420",54,1.42,164,114,0.683,9,14,15,9,23.7,2,2,0,0
Burnley,1,38,38,"3,420",50,1.32,159,112,0.711,15,9,14,15,39.5,5,4,1,0
Chelsea,2,38,38,"3,420",54,1.42,115,65,0.548,20,6,12,9,23.7,2,2,0,0
Crystal Palace,2,38,38,"3,420",50,1.32,169,120,0.704,11,10,17,10,26.3,1,0,0,1
Everton,1,38,38,"3,420",56,1.47,145,95,0.634,13,10,15,9,23.7,4,3,0,1
Leicester City,1,38,38,"3,420",41,1.08,126,95,0.738,18,8,12,13,34.2,10,8,2,0
Liverpool,2,38,38,"3,418",33,0.87,107,75,0.701,32,3,3,15,39.5,1,1,0,0
Manchester City,2,38,38,"3,418",35,0.92,107,73,0.701,26,3,9,17,44.7,3,3,0,0
Manchester Utd,1,38,38,"3,420",36,0.95,125,92,0.736,18,12,8,13,34.2,3,3,0,0
Newcastle Utd,1,38,38,"3,420",58,1.53,190,134,0.705,11,11,16,11,28.9,2,2,0,0
Norwich City,3,38,38,"3,420",75,1.97,201,129,0.647,5,6,27,5,13.2,7,4,3,0
Sheffield Utd,2,38,38,"3,420",39,1.03,141,103,0.73,14,12,12,13,34.2,3,1,1,1
Southampton,2,38,38,"3,420",60,1.58,163,107,0.65,15,7,16,9,23.7,4,3,1,0
Tottenham,2,38,38,"3,420",47,1.24,172,130,0.756,16,11,11,8,21.1,7,5,2,0
Watford,1,38,38,"3,420",64,1.68,166,109,0.663,8,10,20,9,23.7,9,8,1,0
West Ham,4,38,38,"3,420",62,1.63,178,124,0.68,10,9,19,7,18.4,6,5,1,0
Wolves,1,38,38,"3,420",40,1.05,120,80,0.675,15,14,9,13,34.2,3,1,2,0
Arsenal,2,38,38,"3,420",51,1.34,175,132,0.749,21,7,10,8,21.1,7,7,0,0
Bournemouth,3,38,38,"3,420",70,1.84,166,103,0.608,13,6,19,10,26.3,5,5,0,0
Brighton,2,38,38,"3,420",60,1.58,155,105,0.677,9,9,20,7,18.4,10,10,0,0
Burnley,2,38,38,"3,420",68,1.79,199,137,0.668,11,7,20,8,21.1,3,2,1,0
Cardiff City,1,38,38,"3,420",69,1.82,201,135,0.677,10,4,24,10,26.3,7,4,3,0
Chelsea,2,38,38,"3,420",39,1.03,120,81,0.683,21,9,8,16,42.1,2,1,1,0
Crystal Palace,3,38,38,"3,420",53,1.39,156,107,0.686,14,7,17,12,31.6,5,4,1,0
Everton,1,38,38,"3,420",46,1.21,128,86,0.656,15,9,14,14,36.8,5,2,3,0
Fulham,3,38,38,"3,420",81,2.13,222,147,0.658,7,5,26,5,13.2,7,5,1,1
Huddersfield,3,38,38,"3,420",76,2,177,108,0.61,3,7,28,5,13.2,8,7,1,0
Leicester City,1,38,38,"3,420",48,1.26,139,96,0.691,15,7,16,10,26.3,5,5,0,0
Liverpool,1,38,38,"3,420",22,0.58,96,74,0.771,30,7,1,21,55.3,1,0,0,1
Manchester City,1,38,38,"3,420",23,0.61,76,57,0.75,32,2,4,20,52.6,4,4,0,0
Manchester Utd,1,38,38,"3,420",54,1.42,169,124,0.716,19,9,10,7,18.4,6,6,0,0
Newcastle Utd,1,38,38,"3,420",48,1.26,135,94,0.689,12,9,17,11,28.9,6,6,0,0
Southampton,3,38,38,"3,420",65,1.71,170,110,0.629,9,12,17,7,18.4,3,2,1,0
Tottenham,3,38,38,"3,420",39,1.03,148,114,0.757,23,2,13,13,34.2,5,3,2,0
Watford,1,38,38,"3,420",59,1.55,173,118,0.682,14,8,16,7,18.4,5,4,1,0
West Ham,1,38,38,"3,420",55,1.45,191,139,0.733,15,7,16,7,18.4,5,4,1,0
Wolves,3,38,38,"3,420",46,1.21,141,101,0.695,16,9,13,9,23.7,4,3,0,1
Arsenal,2,38,38,"3,420",51,1.34,143,97,0.678,19,6,13,13,34.2,6,5,1,0
Bournemouth,1,38,38,"3,420",61,1.61,173,114,0.659,11,11,16,6,15.8,4,2,1,1
Brighton,1,38,38,"3,420",54,1.42,170,120,0.688,9,13,16,10,26.3,3,1,2,0
Burnley,2,38,38,"3,420",39,1.03,162,126,0.778,14,12,12,12,31.6,5,3,1,1
Chelsea,2,38,38,"3,420",38,1,114,80,0.684,21,7,10,16,42.1,2,2,0,0
Crystal Palace,2,38,38,"3,420",55,1.45,168,117,0.685,11,11,16,9,23.7,2,2,0,0
Everton,1,38,38,"3,420",58,1.53,176,121,0.688,13,10,15,10,26.3,5,3,1,1
Huddersfield,1,38,38,"3,420",57,1.5,154,101,0.656,9,10,19,10,26.3,6,4,2,0
Leicester City,3,38,38,"3,420",60,1.58,161,105,0.64,12,11,15,9,23.7,4,2,2,0
Liverpool,2,38,38,"3,420",38,1,99,65,0.657,21,12,5,17,44.7,6,4,2,0
Manchester City,2,38,38,"3,420",27,0.71,84,58,0.679,32,4,2,18,47.4,3,0,2,1
Manchester Utd,2,38,38,"3,420",28,0.74,144,119,0.813,25,6,7,19,50,1,1,0,0
Newcastle Utd,3,38,38,"3,420",47,1.24,142,101,0.697,12,8,18,9,23.7,6,4,2,0
Southampton,2,38,38,"3,420",56,1.47,160,105,0.656,7,15,16,8,21.1,2,1,1,0
Stoke City,2,38,38,"3,420",68,1.79,212,151,0.703,7,12,19,6,15.8,5,5,0,0
Swansea City,1,38,38,"3,420",56,1.47,191,140,0.723,8,9,21,9,23.7,7,3,3,1
Tottenham,3,38,38,"3,420",36,0.95,127,93,0.732,23,8,7,16,42.1,3,2,1,0
Watford,2,38,38,"3,420",64,1.68,150,93,0.613,11,8,19,9,23.7,6,6,0,0
West Brom,2,38,38,"3,420",56,1.47,155,101,0.645,6,13,19,10,26.3,1,1,0,0
West Ham,2,38,38,"3,420",68,1.79,183,121,0.656,10,12,16,10,26.3,6,5,1,0
Arsenal,3,38,38,"3,420",44,1.16,167,123,0.796,23,6,9,13,34.2,10,10,0,0
Bournemouth,3,38,38,"3,420",67,1.76,189,122,0.656,12,10,16,10,26.3,5,2,2,1
Burnley,2,38,38,"3,420",55,1.45,208,153,0.755,11,7,20,10,26.3,5,4,1,0
Chelsea,2,38,38,"3,420",33,0.87,105,72,0.705,30,3,5,16,42.1,2,2,0,0
Crystal Palace,2,38,38,"3,420",63,1.66,176,113,0.653,12,5,21,7,18.4,2,2,0,0
Everton,2,38,38,"3,420",44,1.16,148,104,0.723,17,10,11,13,34.2,5,3,1,1
Hull City,2,38,38,"3,420",80,2.11,214,134,0.678,9,7,22,5,13.2,14,11,2,1
Leicester City,2,38,38,"3,420",63,1.66,190,127,0.684,12,8,18,9,23.7,3,3,0,0
Liverpool,2,38,38,"3,420",42,1.11,114,72,0.658,22,10,6,12,31.6,5,3,2,0
Manchester City,2,38,38,"3,420",39,1.03,105,66,0.648,23,9,6,12,31.6,5,2,1,2
Manchester Utd,3,38,38,"3,420",29,0.76,116,87,0.784,18,15,5,17,44.7,5,4,1,0
Middlesbrough,2,38,38,"3,420",53,1.39,171,118,0.713,5,13,20,11,28.9,5,4,0,1
Southampton,1,38,38,"3,420",48,1.26,130,82,0.677,12,10,16,14,36.8,9,6,1,2
Stoke City,3,38,38,"3,420",56,1.47,180,124,0.694,11,11,16,11,28.9,2,1,1,0
Sunderland,2,38,38,"3,420",69,1.82,248,179,0.738,6,6,26,6,15.8,4,4,0,0
Swansea City,2,38,38,"3,420",70,1.84,179,109,0.642,12,5,21,8,21.1,8,6,1,1
Tottenham,2,38,38,"3,420",26,0.68,110,84,0.782,26,8,4,17,44.7,2,2,0,0
Watford,2,38,38,"3,420",68,1.79,187,119,0.652,11,7,20,7,18.4,4,3,1,0
West Brom,1,38,38,"3,420",51,1.34,160,109,0.7,12,9,17,6,15.8,3,3,0,0
West Ham,2,38,38,"3,420",64,1.68,182,118,0.676,12,9,17,10,26.3,8,5,1,2
