Squad,# Pl,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog
Arsenal,29,16349,19802,82.6,321171,94850,232,693,33.5,12092,13463,89.8,4025,5646,71.3,35,30.2,4.8,285,1120,320,70,1490
Aston Villa,28,11530,15352,75.1,242826,87405,198,587,33.7,8093,9501,85.2,3239,5264,61.5,32,30.3,1.7,361,891,286,94,1398
Bournemouth,27,11942,15972,74.8,234438,86353,234,718,32.6,8875,10497,84.5,2833,4757,59.6,24,27.2,-3.2,267,902,259,53,1388
Brighton,25,15696,19549,80.3,317803,103836,202,655,30.8,11487,13100,87.7,4007,5794,69.2,24,26.3,-2.3,327,1087,310,84,1624
Burnley,22,9926,14227,69.8,203017,78567,232,645,36,7031,8476,83,2663,5106,52.2,30,27.2,2.8,263,780,208,77,1187
Chelsea,27,20664,24532,84.2,403986,114175,356,814,43.7,15312,17058,89.8,4996,6660,75,46,46.5,-0.5,453,1476,434,106,1877
Crystal Palace,25,12137,15931,76.2,235489,89704,296,727,40.7,9032,10547,85.6,2809,4657,60.3,20,23.5,-3.5,252,865,256,57,1413
Everton,24,13240,17177,77.1,281758,100651,189,657,28.8,9328,10912,85.5,3723,5608,66.4,32,30.3,1.7,316,1039,297,85,1638
Leicester City,24,17332,21153,81.9,333441,103821,274,748,36.6,13103,14701,89.1,3955,5704,69.3,48,43.1,4.9,398,1244,325,85,1659
Liverpool,24,20887,25110,83.2,425172,125665,290,764,38,15123,16875,89.6,5474,7471,73.3,69,50.6,18.4,436,1731,506,101,2154
Manchester City,24,24266,27672,87.7,471050,125630,294,774,38,18201,19843,91.7,5771,7055,81.8,69,66.4,2.6,558,1914,604,98,2282
Manchester Utd,29,17542,21170,82.9,324866,97585,284,786,36.1,13616,15264,89.2,3642,5120,71.1,43,37.4,5.6,401,1361,357,52,1762
Newcastle Utd,28,10502,14207,73.9,217404,81708,202,576,35.1,7549,8889,84.9,2751,4742,58,29,23,6,293,766,190,67,1126
Norwich City,30,14610,18288,79.9,270200,88175,313,764,41,11220,12670,88.6,3077,4854,63.4,18,26.4,-8.4,299,876,224,42,1200
Sheffield Utd,26,12054,16410,73.5,243261,85796,233,719,32.4,8856,10420,85,2965,5271,56.3,25,31.4,-6.4,266,997,295,91,1415
Southampton,25,12481,16900,73.9,239289,84477,277,701,39.5,9427,11242,83.9,2777,4957,56,32,31.3,0.7,333,983,306,70,1482
Tottenham,29,15794,19704,80.2,306118,94501,265,723,36.7,11830,13376,88.4,3699,5605,66,39,30.5,8.5,327,1144,302,51,1511
Watford,26,11207,15413,72.7,221942,84885,279,691,40.4,8202,9831,83.4,2726,4891,55.7,21,28.5,-7.5,287,892,267,79,1359
West Ham,29,12388,16488,75.1,240756,90739,303,828,36.6,9168,10793,84.9,2917,4867,59.9,36,31.6,4.4,318,971,259,85,1398
Wolves,21,14072,17896,78.6,297656,97753,215,664,32.4,9815,11411,86,4042,5821,69.4,34,32.3,1.7,327,1015,230,81,1410
Arsenal,28,18309,22238,82.3,350027,109920,257,711,36.1,13840,15608,88.7,4212,5919,71.2,52,44.1,7.9,357,1277,434,71,1839
Bournemouth,28,13459,17433,77.2,264694,98646,157,553,28.4,10050,11858,84.8,3252,5022,64.8,43,36.5,6.5,318,1017,358,78,1656
Brighton,21,11577,15706,73.7,245953,91441,199,561,35.5,8144,9813,83,3234,5332,60.7,24,23.3,0.7,282,893,221,80,1300
Burnley,23,10145,14648,69.3,214793,88798,143,486,29.4,7226,8931,80.9,2776,5231,53.1,32,27.3,4.7,251,891,255,86,1335
Cardiff City,25,7243,11745,61.7,154712,71766,116,469,24.7,5110,6810,75,2017,4466,45.2,20,23.1,-3.1,267,757,191,59,1245
Chelsea,24,22803,26497,86.1,412143,126634,328,728,45.1,18106,19966,90.7,4369,5803,75.3,52,45.7,6.3,471,1767,468,81,2150
Crystal Palace,26,12729,16683,76.3,238091,93739,217,612,35.5,9878,11575,85.3,2634,4496,58.6,33,31.5,1.5,355,1002,292,67,1528
Everton,23,13878,18260,76,278144,101941,169,581,29.1,10234,12107,84.5,3475,5572,62.4,34,30.2,3.8,341,1198,310,91,1733
Fulham,28,15145,19240,78.7,291406,105290,168,505,33.3,11743,13450,87.3,3234,5285,61.2,24,28.8,-4.8,335,1096,248,63,1543
Huddersfield,31,13000,17533,74.1,259930,97688,176,618,28.5,9543,11409,83.6,3281,5506,59.6,13,19.8,-6.8,279,1014,238,94,1484
Leicester City,25,14734,19028,77.4,291099,99436,191,611,31.3,10955,12891,85,3588,5526,64.9,34,33.9,0.1,363,1173,275,69,1662
Liverpool,23,21090,25254,83.5,417026,130704,196,596,32.9,15715,17597,89.3,5179,7061,73.3,55,47.6,7.4,417,1731,528,88,2279
Manchester City,21,24603,28124,87.5,460695,127587,240,614,39.1,19165,20858,91.9,5198,6652,78.1,71,61.5,9.5,507,2097,593,63,2310
Manchester Utd,28,16788,20703,81.1,318767,112450,250,648,38.6,12876,14605,88.2,3662,5450,67.2,40,38.1,1.9,380,1327,361,74,1860
Newcastle Utd,24,10842,15148,71.6,226560,88748,151,568,26.6,7742,9407,82.3,2949,5173,57,33,26.1,6.9,293,892,267,89,1353
Southampton,30,11568,15998,72.3,224381,82853,173,551,31.4,8742,10557,82.8,2653,4890,54.3,27,27.1,-0.1,330,1091,267,80,1473
